institution_id,peer_group,confidence
INST_1,0,0.4912445278298937
INST_10,1,0.4846630990386402
INST_11,2,0.5736662212165683
INST_12,2,0.5576064482143483
INST_13,2,0.5135198950508626
INST_14,2,0.5319595445570348
INST_15,2,0.4052777730378662
INST_16,2,0.48903733982738107
INST_17,1,0.47218652621105806
INST_18,2,0.5621478935463349
INST_19,1,0.4105739781261603
INST_2,1,0.4465703688784905
INST_20,3,0.4147057897057897
INST_21,1,0.4562965965520769
INST_22,3,0.38105976820810583
INST_23,3,0.30625988142292493
INST_24,3,0.3507958952811894
INST_25,0,0.426829268292683
INST_26,1,0.44492860106547966
INST_27,1,0.5050927472579326
INST_28,1,0.3658048500705033
INST_29,0,0.5766103814884302
INST_3,2,0.5278856525143121
INST_30,1,0.3579446282122498
INST_4,1,0.5129380807212313
INST_5,3,0.435952380952381
INST_6,2,0.5032821389063837
INST_7,1,0.4704955992050792
INST_8,1,0.48744479039144833
INST_9,1,0.4691370538734518
