k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette,mean_recall,mean_false_positive_rate
2,0.25792172686126574,0.24159676777195213,13.0,0.6957657786095003,0.1245366652925603,0.79,0.14448275862068966
3,0.23616873902067728,0.19581225412101153,6.0,0.5325851821794175,0.10268522219207869,0.78,0.18965517241379318
4,0.24611266249086697,0.1548073779746456,3.0,0.4643972573218764,0.0918308664651388,0.82,0.23689655172413798
5,0.20626847246258126,0.1481999696182481,1.0,0.38736128780849094,0.12937723654840097,0.78,0.2351724137931035
6,0.2662202361343634,0.17353638078631362,1.0,0.4113368175520687,0.09411318050319105,0.85,0.25137931034482763
