k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette,mean_recall,mean_false_positive_rate
2,0.19392203945339126,0.29550302971542586,10.0,0.6389685446491192,0.13565661325184206,0.61,0.08758620689655175
3,0.2673730554544728,0.2549889758650687,3.0,0.520856238190924,0.14157381795672735,0.6,0.09172413793103452
4,0.26459597937206303,0.18952411076294473,3.0,0.4694937112387355,0.11548295249180235,0.59,0.10068965517241381
5,0.2379135776975229,0.14612568482877078,2.0,0.416183360643819,0.12107404445424264,0.61,0.13103448275862067
6,0.25618780717531314,0.1530032213254543,2.0,0.3953082030901572,0.11261883187466183,0.63,0.1406896551724138
