institution_id,peer_group,confidence
INST_1,0,0.6464779740918858
INST_10,1,0.41084231672466964
INST_11,0,0.5824489274956475
INST_12,0,0.6248303488800565
INST_13,0,0.5621350675659242
INST_14,0,0.47960803780788525
INST_15,1,0.5133822378006206
INST_16,1,0.40931222391490707
INST_17,0,0.5522536151212623
INST_18,0,0.6288485511481727
INST_19,1,0.434951963241437
INST_2,0,0.689850030091576
INST_20,0,0.5396315673876583
INST_21,1,0.5705458756929345
INST_22,1,0.5320040095940847
INST_23,0,0.6097460192512397
INST_24,1,0.5960236611036405
INST_25,0,0.512076351490116
INST_26,0,0.5312455443348719
INST_27,0,0.6198550229058486
INST_28,0,0.5530219972093038
INST_29,0,0.5778638239359851
INST_3,0,0.4861713855104434
INST_30,1,0.5594238703270875
INST_4,2,1.0
INST_5,1,0.6040677550481472
INST_6,1,0.3995434898180894
INST_7,0,0.5995973180279053
INST_8,0,0.5481744193309979
INST_9,0,0.48235112895368876
