institution_id,peer_group,confidence
INST_1,1,0.7022109768328733
INST_10,1,0.7001421194868114
INST_11,0,0.9471664111992313
INST_12,1,0.8154410118418873
INST_13,1,0.7629979396458457
INST_14,1,0.7931929925004118
INST_15,1,0.8053080202012888
INST_16,0,0.8787914082681755
INST_17,1,0.7328620222565542
INST_18,1,0.7434225259637152
INST_19,1,0.7664079213415077
INST_2,1,0.8199308933622069
INST_20,1,0.695100386525928
INST_21,0,0.9179024028966426
INST_22,1,0.8104237370004896
INST_23,1,0.7929288567115713
INST_24,0,0.9365331897796147
INST_25,1,0.7325732151723534
INST_26,1,0.7803512375438457
INST_27,1,0.8186924573106596
INST_28,1,0.720848151350789
INST_29,0,0.9316985709012288
INST_3,1,0.678172166002427
INST_30,1,0.798179900042901
INST_4,1,0.7343435969873007
INST_5,1,0.6937771865299796
INST_6,1,0.7994629199587884
INST_7,0,0.9014725433883577
INST_8,0,0.7861061668370638
INST_9,0,0.8578249208709646
