k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette
2,0.4601625777927967,0.3973257885216568,8.0,0.7951421949570471,0.2554424966327739
3,0.4446129846321426,0.28493590448506606,6.0,0.6889796706807034,0.195048945015402
4,0.38114743107892785,0.208002252344519,1.0,0.572967077838264,0.15950527177796184
5,0.3933021439827662,0.18382240782454862,1.0,0.5577635503035746,0.13654094056046212
6,0.372258318696248,0.16066344132848767,1.0,0.514065638625439,0.12845730723546722
