institution_id,CHBV,CHEDV,CHLN,CHSJ,CHTS,CHVNGE,HSO,ULSAM,ULSM
CHBV,1.0,0.7575757575757576,0.7441860465116279,0.13043478260869565,0.6976744186046512,0.7111111111111111,0.3023255813953488,0.045454545454545456,0.5813953488372093
CHEDV,0.7575757575757576,1.0,0.8125,0.3181818181818182,0.6470588235294118,0.8809523809523809,0.35,0.024390243902439025,0.8571428571428571
CHLN,0.7441860465116279,0.8125,1.0,0.2926829268292683,0.5581395348837209,0.9565217391304348,0.21951219512195122,0.1276595744680851,0.8888888888888888
CHSJ,0.13043478260869565,0.3181818181818182,0.2926829268292683,1.0,0.09523809523809523,0.28,0.0,0.15217391304347827,0.4222222222222222
CHTS,0.6976744186046512,0.6470588235294118,0.5581395348837209,0.09523809523809523,1.0,0.6666666666666666,0.26666666666666666,0.0,0.5
CHVNGE,0.7111111111111111,0.8809523809523809,0.9565217391304348,0.28,0.6666666666666666,1.0,0.22,0.06382978723404255,0.9375
HSO,0.3023255813953488,0.35,0.21951219512195122,0.0,0.26666666666666666,0.22,1.0,0.0,0.17777777777777778
ULSAM,0.045454545454545456,0.024390243902439025,0.1276595744680851,0.15217391304347827,0.0,0.06382978723404255,0.0,1.0,0.17777777777777778
ULSM,0.5813953488372093,0.8571428571428571,0.8888888888888888,0.4222222222222222,0.5,0.9375,0.17777777777777778,0.17777777777777778,1.0
