k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette,mean_recall,mean_false_positive_rate
2,0.44705593434870705,0.46138179903407267,3.0,0.8761674202206627,0.6970885808075099,0.79,0.14551724137931038
3,0.5127201781955955,0.3853848984179573,1.0,0.7430650207147729,0.5194256642372249,0.78,0.17551724137931038
4,0.36366515799182764,0.3188033509820144,1.0,0.6003480868925071,0.5506055027502067,0.77,0.1758620689655173
5,0.4078664616228216,0.2496220737329793,1.0,0.6108255367929277,0.25261347719384153,0.77,0.2448275862068966
6,0.5010296321560865,0.21252856720494712,1.0,0.6393090773513334,0.22480700870931594,0.79,0.2827586206896552
