institution_id,peer_group,confidence
INST_1,4,0.4180224024970741
INST_10,4,0.6639708069424723
INST_11,3,0.5656517263224581
INST_12,2,0.8667979337483981
INST_13,4,0.483288980003424
INST_14,2,0.7981067726133516
INST_15,3,0.5232675183894696
INST_16,5,1.0
INST_17,4,0.6279040069211873
INST_18,3,0.4832604437341219
INST_19,2,0.9022602784212691
INST_2,4,0.6435966210226771
INST_20,4,0.5570462390386812
INST_21,3,0.40679374389051803
INST_22,4,0.2670026674880315
INST_23,4,0.641230301245012
INST_24,4,0.6620624632020905
INST_25,4,0.6631296570662344
INST_26,4,0.6779165314739791
INST_27,1,1.0
INST_28,2,0.8150763709974236
INST_29,3,0.4549436372748908
INST_3,2,0.8649839743589745
INST_30,3,0.5171497201985007
INST_4,0,0.9302325581395349
INST_5,4,0.539868695299749
INST_6,4,0.6587068480540139
INST_7,0,0.9302325581395349
INST_8,4,0.23384920750900612
INST_9,3,0.3829196565479191
