k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette
2,0.38093488624915856,0.3005155451254719,12.0,0.7097360775001922,0.18140268925398564
3,0.39047526379606173,0.2228468702907149,6.0,0.621217356226518,0.15714910816861066
4,0.37750754781625057,0.19342578525474988,5.0,0.5520513769742489,0.1639185301101863
5,0.383368878048892,0.1710958690949239,3.0,0.5008604557631731,0.15598259096996536
6,0.37863091355800144,0.1709923271816074,1.0,0.48535178781142757,0.13948624430291395
