institution_id,INST_1,INST_10,INST_11,INST_12,INST_13,INST_14,INST_15,INST_16,INST_17,INST_18,INST_19,INST_2,INST_20,INST_21,INST_22,INST_23,INST_24,INST_25,INST_26,INST_27,INST_28,INST_29,INST_3,INST_30,INST_4,INST_5,INST_6,INST_7,INST_8,INST_9
INST_1,1.0,0.8888888888888888,0.7567567567567568,0.4411764705882353,0.8974358974358975,0.8837209302325582,0.6756756756756757,0.35294117647058826,0.5757575757575758,0.8048780487804879,0.8823529411764706,0.8611111111111112,0.8378378378378378,0.3125,0.4,0.775,0.8055555555555556,0.7073170731707317,0.5,0.8333333333333334,0.7142857142857143,0.23076923076923078,0.8461538461538461,0.7692307692307693,0.8780487804878049,0.85,0.8333333333333334,0.6666666666666666,0.7619047619047619,0.7948717948717948
INST_10,0.8888888888888888,1.0,0.9705882352941176,0.3235294117647059,0.975,0.975609756097561,0.7674418604651163,0.24390243902439024,0.4,0.8461538461538461,0.8611111111111112,0.775,0.9347826086956522,0.2857142857142857,0.3333333333333333,0.775,0.9117647058823529,0.631578947368421,0.3953488372093023,0.9393939393939394,0.918918918918919,0.18604651162790697,0.9743589743589743,0.9024390243902439,0.9736842105263158,0.6829268292682927,0.925,0.7878787878787878,0.7674418604651163,0.925
INST_11,0.7567567567567568,0.9705882352941176,1.0,0.358974358974359,0.9024390243902439,0.9069767441860465,0.7380952380952381,0.1935483870967742,0.45454545454545453,0.9,0.8235294117647058,0.6,0.8888888888888888,0.17647058823529413,0.3333333333333333,0.7659574468085106,0.8611111111111112,0.631578947368421,0.4418604651162791,0.9428571428571428,0.9210526315789473,0.13636363636363635,0.9117647058823529,0.975609756097561,0.9047619047619048,0.5869565217391305,0.9428571428571428,0.8461538461538461,0.8095238095238095,0.8780487804878049
INST_12,0.4411764705882353,0.3235294117647059,0.358974358974359,1.0,0.25,0.30952380952380953,0.4358974358974359,0.7058823529411765,0.7878787878787878,0.27906976744186046,0.38235294117647056,0.6111111111111112,0.2702702702702703,0.8064516129032258,0.9117647058823529,0.4772727272727273,0.4722222222222222,0.21052631578947367,0.8,0.32432432432432434,0.2631578947368421,0.7441860465116279,0.23076923076923078,0.20512820512820512,0.4186046511627907,0.4878048780487805,0.3235294117647059,0.3783783783783784,0.34210526315789475,0.2
INST_13,0.8974358974358975,0.975,0.9024390243902439,0.25,1.0,0.9574468085106383,0.7857142857142857,0.2564102564102564,0.5,0.8604651162790697,0.9,0.6578947368421053,0.9523809523809523,0.16666666666666666,0.3,0.7272727272727273,0.926829268292683,0.7142857142857143,0.4666666666666667,0.9487179487179487,1.0,0.175,0.9787234042553191,0.9772727272727273,0.85,0.6521739130434783,0.95,0.75,0.8260869565217391,0.9555555555555556
INST_14,0.8837209302325582,0.975609756097561,0.9069767441860465,0.30952380952380953,0.9574468085106383,1.0,0.7755102040816326,0.23255813953488372,0.4772727272727273,0.851063829787234,0.868421052631579,0.7608695652173914,0.9777777777777777,0.2,0.21951219512195122,0.75,0.8604651162790697,0.7857142857142857,0.43478260869565216,0.95,0.9545454545454546,0.1276595744680851,0.9583333333333334,0.9333333333333333,0.8913043478260869,0.68,0.9473684210526315,0.7560975609756098,0.75,0.9183673469387755
INST_15,0.6756756756756757,0.7674418604651163,0.7380952380952381,0.4358974358974359,0.7857142857142857,0.7755102040816326,1.0,0.125,0.24390243902439024,0.8,0.7142857142857143,0.8461538461538461,0.7954545454545454,0.24242424242424243,0.5,0.5714285714285714,0.75,0.7317073170731707,0.22727272727272727,0.7948717948717948,0.7804878048780488,0.12195121951219512,0.7608695652173914,0.75,0.6666666666666666,0.7333333333333333,0.7435897435897436,0.8205128205128205,0.5476190476190477,0.7
INST_16,0.35294117647058826,0.24390243902439024,0.1935483870967742,0.7058823529411765,0.2564102564102564,0.23255813953488372,0.125,1.0,0.7567567567567568,0.075,0.39473684210526316,0.275,0.28205128205128205,1.0,0.65,0.46153846153846156,0.23255813953488372,0.11627906976744186,0.925,0.1891891891891892,0.2727272727272727,0.9534883720930233,0.20454545454545456,0.1891891891891892,0.3170731707317073,0.37777777777777777,0.16666666666666666,0.07317073170731707,0.46153846153846156,0.25
INST_17,0.5757575757575758,0.4,0.45454545454545453,0.7878787878787878,0.5,0.4772727272727273,0.24390243902439024,0.7567567567567568,1.0,0.23529411764705882,0.43333333333333335,0.38235294117647056,0.3333333333333333,0.8125,0.5333333333333333,0.39473684210526316,0.4722222222222222,0.2,0.9761904761904762,0.43333333333333335,0.35294117647058826,0.8285714285714286,0.4523809523809524,0.42105263157894735,0.4864864864864865,0.42105263157894735,0.4375,0.35135135135135137,0.6341463414634146,0.4
INST_18,0.8048780487804879,0.8461538461538461,0.9,0.27906976744186046,0.8604651162790697,0.851063829787234,0.8,0.075,0.23529411764705882,1.0,0.8108108108108109,0.7380952380952381,0.8536585365853658,0.0,0.2564102564102564,0.6956521739130435,0.8604651162790697,0.9166666666666666,0.1702127659574468,0.9210526315789473,0.9,0.09302325581395349,0.9047619047619048,0.95,0.7857142857142857,0.6818181818181818,0.9166666666666666,0.9459459459459459,0.75,0.9130434782608695
