k,mean_ari,std_ari,min_cluster_size,mean_confidence,silhouette,mean_recall,mean_false_positive_rate
2,0.4908168908210771,0.41824460002611313,7.0,0.8090446543037402,0.2711132905419226,0.41,0.11586206896551722
3,0.3070964232153825,0.24786336840290216,1.0,0.6004701893908344,0.24733513413255312,0.46,0.16137931034482758
4,0.2669199725136728,0.17627446537998687,1.0,0.47031187871687513,0.21995977663371805,0.5,0.16586206896551725
5,0.22939113263596153,0.1287363638768831,1.0,0.43394819344627356,0.1648058327369039,0.52,0.20689655172413793
6,0.2950470101726976,0.17472497335766632,1.0,0.4361947887381269,0.11825101350536289,0.53,0.25103448275862067
