institution_id,peer_group,confidence
INST_1,0,0.8056527144040909
INST_10,0,0.8686346593253481
INST_11,0,0.839341274845622
INST_12,1,0.792693917686195
INST_13,0,0.8702588653077765
INST_14,0,0.8678602667509545
INST_15,0,0.73860991068712
INST_16,1,0.8318545802984927
INST_17,1,0.7825384637884638
INST_18,0,0.8457687490044381
INST_19,0,0.8485175623673985
INST_2,0,0.7345153130852246
INST_20,0,0.82680331950194
INST_21,1,0.8447208410811977
INST_22,1,0.6739693313222724
INST_23,0,0.7335116878148427
INST_24,0,0.8229504786328501
INST_25,0,0.7131062667376225
INST_26,1,0.8201580225796352
INST_27,0,0.8652730426869056
INST_28,0,0.8550516685685549
INST_29,1,0.8242857203272839
INST_3,0,0.8658810424166222
INST_30,0,0.8616365719325629
INST_4,0,0.8078648519822526
INST_5,0,0.6854413100253314
INST_6,0,0.8651290547033926
INST_7,0,0.777730575516162
INST_8,0,0.7501397176099762
INST_9,0,0.8514398481216765
